"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-09-19T12:21:51.182Z"
"CLI Version","2.2.8"
"WILD Version","1.0.11"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"object-assign","4.1.1","false","Exempt - Version closely related to 4.1.0","MIT","MIT","Approved","node_modules/figures/node_modules/object-assign"
"find-up","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/find-up"
"first-chunk-stream","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/first-chunk-stream"
"forever-agent","0.6.1","false","Previously pedigree reviewed","Apache-2.0","Apache-2.0","Approved","node_modules/forever-agent"
"form-data","2.1.4","false","Exempt - Version closely related to 2.1.2","MIT","MIT","Approved","node_modules/form-data"
"fs-extra","2.1.2","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/fs-extra"
"fs.realpath","1.0.0","false","Previously pedigree reviewed","ISC,KEYWORD,MIT,UNKNOWN","ISC","Needs Review","node_modules/fs.realpath"
"fstream","0.1.31","false","Exempt - Version closely related to 0.1.25","BSD-2-Clause","","Approved","node_modules/fstream"
"graceful-fs","3.0.11","false","Exempt - Version closely related to 3.0.6","ISC","ISC","Approved","node_modules/fstream/node_modules/graceful-fs"
"generator-ibm-cloud-enablement","0.0.89","true","New package and not exempt","Apache-2.0,KEYWORD,UNKNOWN","Apache-2.0","Needs Review","node_modules/generator-ibm-cloud-enablement"
"generator-ibm-service-enablement","0.0.80","true","New package and not exempt","Apache-2.0","Apache-2.0","Approved","node_modules/generator-ibm-service-enablement"
"get-stream","3.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/get-stream"
"getpass","0.1.7","false","Exempt - Version closely related to 0.1.6","MIT","MIT","Approved","node_modules/getpass"
"gh-got","5.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/gh-got"
"github-username","3.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/github-username"
"glob","7.1.2","false","Exempt - Version closely related to 7.1.1","ISC","ISC","Approved","node_modules/glob"
"globby","6.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/globby"
"got","6.7.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/got"
"graceful-fs","4.1.11","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/graceful-fs"
"grouped-queue","0.3.3","true","New package and not exempt","MIT","MIT","Approved","node_modules/grouped-queue"
"handlebars","4.0.10","false","Exempt - Version closely related to 4.0.6","MIT","MIT","Approved","node_modules/handlebars"
"har-schema","1.0.5","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/har-schema"
"har-validator","4.2.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/har-validator"
"has-ansi","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/has-ansi"
"hawk","3.1.3","false","Previously pedigree reviewed","BSD-3-Clause,crypto-js","BSD-3-Clause","Needs Review","node_modules/hawk"
"hoek","2.16.3","false","Previously pedigree reviewed","BSD-3-Clause,MIT,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/hoek"
"hosted-git-info","2.5.0","false","Exempt - Expected license matched","ISC","ISC","Approved","node_modules/hosted-git-info"
"http-signature","1.1.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/http-signature"
"inflight","1.0.6","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/inflight"
"inherits","2.0.3","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/inherits"
"inquirer","1.2.3","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/inquirer"
"interpret","1.0.4","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/interpret"
"is-arrayish","0.2.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-arrayish"
"is-buffer","1.1.5","false","Exempt - Version closely related to 1.1.0","MIT","MIT","Approved","node_modules/is-buffer"
"is-builtin-module","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-builtin-module"
"is-fullwidth-code-point","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-fullwidth-code-point"
"is-plain-obj","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-plain-obj"
"is-promise","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-promise"
"is-redirect","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-redirect"
"is-retry-allowed","1.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/is-retry-allowed"
"is-stream","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-stream"
"is-typedarray","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-typedarray"
"is-utf8","0.2.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-utf8"
"isarray","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/isarray"
"isexe","2.0.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/isexe"
"isstream","0.1.2","false","Exempt - Version closely related to 0.1.1","MIT","MIT","Approved","node_modules/isstream"
"istextorbinary","2.1.0","true","New package and not exempt","KEYWORD,MIT,OFL-1.1,UNKNOWN","MIT","Needs Review","node_modules/istextorbinary"
"js-yaml","3.10.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/js-yaml"
"jsbn","0.1.1","false","Exempt - Version closely related to 0.1.0","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/jsbn"
"json-schema","0.2.3","false","Exempt - Version closely related to 0.2.2","","","No license information available","node_modules/json-schema"
"json-stable-stringify","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/json-stable-stringify"
"json-stringify-safe","5.0.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/json-stringify-safe"
"jsonfile","2.4.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/jsonfile"
"jsonify","0.0.0","false","Previously pedigree reviewed","","Public Domain","Approved | Reference Only","node_modules/jsonify"
"jsprim","1.4.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/jsprim"
"kind-of","3.2.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/kind-of"
"lazy-cache","1.0.4","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/lazy-cache"
"load-json-file","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/load-json-file"
"locate-path","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/locate-path"
"lodash","4.17.4","false","Previously pedigree reviewed","CC0-1.0,KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/lodash"
"log-symbols","1.0.2","false","Exempt - Version closely related to 1.0.0","MIT","MIT","Approved","node_modules/log-symbols"
"log4js","1.1.1","false","Exempt - Version closely related to 1.1.0","Apache-2.0","Apache-2.0","Approved","node_modules/log4js"
"longest","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/longest"
"lowercase-keys","1.0.0","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/lowercase-keys"
"lru-cache","4.1.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/lru-cache"
"match-stream","0.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/match-stream"
"isarray","0.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/match-stream/node_modules/isarray"
"readable-stream","1.0.34","false","Exempt - Version closely related to 1.0.33","MIT","MIT","Approved","node_modules/match-stream/node_modules/readable-stream"
"string_decoder","0.10.31","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/match-stream/node_modules/string_decoder"
"mem-fs","1.1.3","true","New package and not exempt","","MIT","Approved | Reference Only","node_modules/mem-fs"
"clone","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/mem-fs/node_modules/clone"
"clone-stats","0.0.1","true","New package and not exempt","MIT","MIT","Approved","node_modules/mem-fs/node_modules/clone-stats"
"replace-ext","0.0.1","true","New package and not exempt","MIT","","Approved","node_modules/mem-fs/node_modules/replace-ext"
"vinyl","1.2.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/mem-fs/node_modules/vinyl"
"mem-fs-editor","3.0.2","true","New package and not exempt","","MIT","Approved | Reference Only","node_modules/mem-fs-editor"
"mime-db","1.30.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/mime-db"
"mime-types","2.1.17","false","Exempt - Version closely related to 2.1.11","MIT","MIT","Approved","node_modules/mime-types"
"minimatch","3.0.4","false","Exempt - Version closely related to 3.0.3","ISC","ISC","Approved","node_modules/minimatch"
"minimist","0.0.10","false","Exempt - Version closely related to 0.0.8","MIT","MIT","Approved","node_modules/minimist"
"mkdirp","0.5.1","false","Exempt - Version closely related to 0.5.0","KEYWORD,MIT","MIT","Needs Review","node_modules/mkdirp"
"minimist","0.0.8","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/mkdirp/node_modules/minimist"
"ms","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/ms"
"multimatch","2.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/multimatch"
"mute-stream","0.0.6","false","Exempt - Version closely related to 0.0.4","ISC","ISC","Approved","node_modules/mute-stream"
"natives","1.1.0","false","Previously pedigree reviewed","","ISC","Approved | Reference Only","node_modules/natives"
"normalize-package-data","2.4.0","true","New version and not exempt","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/normalize-package-data"
"number-is-nan","1.0.1","false","Exempt - Version closely related to 1.0.0","MIT","MIT","Approved","node_modules/number-is-nan"
"oauth-sign","0.8.2","false","Previously pedigree reviewed","Apache-2.0","Apache-2.0","Approved","node_modules/oauth-sign"
"object-assign","2.1.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/object-assign"
"once","1.4.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/once"
"onetime","1.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/onetime"
"optimist","0.6.1","false","Previously pedigree reviewed","KEYWORD,MIT","","Needs Review","node_modules/optimist"
"os-homedir","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/os-homedir"
"os-shim","0.1.3","true","New package and not exempt","MIT","","Approved","node_modules/os-shim"
"os-tmpdir","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/os-tmpdir"
"over","0.0.5","true","New package and not exempt","MIT","MIT","Approved","node_modules/over"
"p-limit","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/p-limit"
"p-locate","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/p-locate"
"parse-json","2.2.0","false","Previously pedigree reviewed","MIT,WTFPL","MIT","Approved","node_modules/parse-json"
"path-exists","3.0.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/path-exists"
"path-is-absolute","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/path-is-absolute"
"path-parse","1.0.5","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/path-parse"
"path-type","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/path-type"
"performance-now","0.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/performance-now"
"pify","2.3.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/pify"
"pinkie","2.0.4","false","Exempt - Version closely related to 2.0.1","MIT","MIT","Approved","node_modules/pinkie"
"pinkie-promise","2.0.1","false","Exempt - Version closely related to 2.0.0","MIT","MIT","Approved","node_modules/pinkie-promise"
"prepend-http","1.0.4","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/prepend-http"
"pretty-bytes","4.0.2","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/pretty-bytes"
"process-nextick-args","1.0.7","false","Exempt - Version closely related to 1.0.2","MIT","MIT","Approved","node_modules/process-nextick-args"
"pseudomap","1.0.2","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/pseudomap"
"pullstream","0.4.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/pullstream"
"punycode","1.4.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/punycode"
"qs","6.4.0","false","Previously pedigree reviewed","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/qs"
"read-chunk","2.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/read-chunk"
"pify","3.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-chunk/node_modules/pify"
"read-pkg","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-pkg"
"read-pkg-up","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-pkg-up"
"readable-stream","2.3.3","false","Exempt - Version closely related to 2.3.2","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/readable-stream"
"rechoir","0.6.2","false","Previously pedigree reviewed","MIT","","Approved","node_modules/rechoir"
"remove-trailing-separator","1.1.0","true","New version and not exempt","ISC","ISC","Approved","node_modules/remove-trailing-separator"
"repeat-string","1.6.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/repeat-string"
"replace-ext","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/replace-ext"
"request","2.81.0","false","Previously pedigree reviewed","Apache-2.0","Apache-2.0","Approved","node_modules/request"
"resolve","1.4.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/resolve"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/module_dir/zmodules/bbb"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/baz"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/dot_main"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/dot_slash_main"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/incorrect_main"
"restore-cursor","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/restore-cursor"
"right-align","0.1.3","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/right-align"
"rimraf","2.6.2","false","Exempt - Version closely related to 2.6.1","ISC","ISC","Approved","node_modules/rimraf"
"run-async","2.3.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/run-async"
"rx","4.1.0","true","New version and not exempt","Apache-2.0,UNKNOWN","Apache-2.0","Needs Review","node_modules/rx"
"safe-buffer","5.1.1","false","Exempt - Version closely related to 5.1.0","MIT","MIT","Approved","node_modules/safe-buffer"
"semver","5.4.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/semver"
"setimmediate","1.0.5","false","Exempt - Version closely related to 1.0.2","MIT","MIT","Approved","node_modules/setimmediate"
"shebang-command","1.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/shebang-command"
"shebang-regex","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/shebang-regex"
"shelljs","0.7.8","false","Exempt - Version closely related to 0.7.0","BSD-3-Clause,MIT,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/shelljs"
"slice-stream","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/slice-stream"
"sntp","1.0.9","false","Previously pedigree reviewed","BSD-3-Clause","","Approved","node_modules/sntp"
"source-map","0.4.4","false","Previously pedigree reviewed","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/source-map"
"spawn-sync","1.0.15","false","Exempt - Version closely related to 1.0.11","MIT","MIT","Approved","node_modules/spawn-sync"
"spdx-correct","1.0.2","false","Previously pedigree reviewed","AGPL-3.0,Apache-2.0,Artistic-2.0,BSD-2-Clause,BSD-3-Clause,BSL-1.0,CC-BY-4.0,EPL-1.0,GPL-2.0,GPL-3.0,LGPL-3.0,MPL-2.0,UNKNOWN,WTFPL","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/spdx-correct"
"spdx-expression-parse","1.0.4","false","Exempt - Version closely related to 1.0.2","Apache-2.0,BSD-2-Clause,BSD-3-Clause,BSD-4-Clause,CC-BY-3.0,ClArtistic,GPL-2.0,JSON,LGPL-2.1,MIT,MITNFA,MS-PL,WTFPL","CC-BY-3.0","Needs Review | Needs Legal Approval","node_modules/spdx-expression-parse"
"spdx-license-ids","1.2.2","false","Previously pedigree reviewed","Public Domain","","Approved","node_modules/spdx-license-ids"
"sprintf-js","1.0.3","false","Previously pedigree reviewed","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/sprintf-js"
"sshpk","1.13.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/sshpk"
"streamroller","0.4.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/streamroller"
"debug","0.7.4","false","Previously pedigree reviewed","MIT","","Approved","node_modules/streamroller/node_modules/debug"
"readable-stream","1.1.14","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/streamroller/node_modules/readable-stream"
"string-template","0.2.1","true","New package and not exempt","MIT","","Approved","node_modules/string-template"
"string-width","1.0.2","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/string-width"
"string_decoder","1.0.3","false","Exempt - Version closely related to 1.0.0","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/string_decoder"
"stringstream","0.0.5","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/stringstream"
"strip-ansi","3.0.1","false","Exempt - Version closely related to 3.0.0","MIT","MIT","Approved","node_modules/strip-ansi"
"strip-bom","3.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/strip-bom"
"strip-bom-stream","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/strip-bom-stream"
"strip-bom","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/strip-bom-stream/node_modules/strip-bom"
"supports-color","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/supports-color"
"text-table","0.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/text-table"
"textextensions","2.1.0","true","New package and not exempt","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/textextensions"
"through","2.3.8","false","Previously pedigree reviewed","Apache-2.0,KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/through"
